line_index,LD_value
1012,0.0
1013,0.0
1014,0.5
1015,1.0
1016,2.0
1017,2.0
1018,1.0
1019,1.0
1020,0.5
1021,0.5
1022,2.0
1023,0.3333333333333333
1024,1.0
1025,3.0
1026,0.0
1027,0.0
1028,2.0
1029,1.0
1030,1.0
1031,0.3333333333333333
1032,0.5
1033,0.0
1034,1.0
1035,1.0
1036,0.0
1037,1.0
1038,1.0
1039,0.0
1040,0.3333333333333333
1041,0.0
1042,1.0
1043,1.0
1044,0.3333333333333333
1045,0.5
1046,0.0
1047,2.0
1048,0.0
1049,2.0
1050,0.0
1051,0.0
1052,2.0
1053,2.0
1054,3.0
1055,0.0
1056,1.0
1057,1.0
1058,2.0
1059,1.0
1060,0.3333333333333333
1061,1.0
1062,1.0
1063,0.5
1064,0.0
1065,2.0
1066,1.0
1067,0.3333333333333333
1068,0.0
1069,3.0
1070,2.0
1071,0.0
1072,0.5
1073,0.0
1074,1.0
1075,0.75
1076,0.0
1077,1.0
1078,0.5
1079,0.0
1080,0.0
1081,0.0
1082,1.0
1083,0.0
1084,0.0
1085,1.0
1086,1.0
1087,1.0
1088,1.0
1089,0.0
1090,1.0
1091,0.0
1092,0.0
1093,2.0
1094,0.0
1095,0.0
1096,3.0
1097,0.0
1098,0.0
1099,1.0
1100,0.0
1101,0.0
1102,1.0
1103,0.0
1104,0.0
1105,1.0
1106,0.5
1107,0.5
1108,1.0
1109,0.3333333333333333
1110,0.5
1111,0.3333333333333333
1112,0.0
1113,2.0
1114,1.5
1115,1.0
1116,1.0
1117,1.0
1118,0.0
1119,3.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,1.0
1128,1.0
1129,0.0
1130,0.0
1131,1.0
1132,0.0
1133,0.0
1134,1.0
1135,0.5
1136,1.0
1137,1.0
1138,0.3333333333333333
1139,0.0
1140,1.0
1141,4.0
1142,0.0
1143,1.0
1144,0.3333333333333333
1145,0.0
1146,0.0
1147,0.0
1148,2.0
1149,0.0
1150,0.0
1151,0.5
1152,0.5
1153,1.0
1154,1.0
1155,0.0
1156,0.0
1157,0.0
1158,2.0
1159,0.5
1160,0.0
1161,3.0
1162,1.0
1163,0.0
1164,1.0
1165,2.0
1166,2.0
1167,1.0
1168,2.0
1169,0.3333333333333333
1170,2.0
1171,3.0
1172,4.0
1173,2.0
1174,0.3333333333333333
1175,0.0
1176,2.0
1177,0.0
1178,2.0
1179,1.0
1180,2.0
1181,0.6666666666666666
1182,2.0
1183,1.0
1184,2.0
1185,0.5
1186,0.0
1187,1.0
1188,3.0
1189,1.0
1190,0.25
1191,0.0
1192,0.0
1193,1.0
1194,1.0
1195,1.0
1196,1.0
1197,1.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,2.0
1203,0.0
1204,1.0
1205,0.0
1206,2.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.5
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,3.0
1219,1.0
1220,0.0
1221,3.0
1222,3.0
1223,0.3333333333333333
1224,0.0
1225,0.5
1226,1.0
1227,1.0
1228,0.5
1229,0.5
1230,1.0
1231,0.0
1232,1.0
1233,1.0
1234,1.0
1235,2.0
1236,1.0
1237,0.0
1238,0.5
1239,0.5
1240,0.5
1241,0.5
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.5
1247,1.0
1248,1.5
1249,0.0
1250,1.0
1251,0.0
1252,0.0
1253,1.0
1254,0.0
1255,0.0
1256,1.0
1257,0.0
1258,0.0
1259,1.0
1260,1.0
1261,0.0
1262,0.0
1263,1.0
1264,1.0
1265,0.0
1266,3.0
1267,1.0
1268,2.0
1269,1.0
1270,1.0
1271,2.0
1272,1.0
1273,0.5
1274,0.5
1275,1.0
1276,0.0
1277,0.0
1278,1.5
1279,0.3333333333333333
1280,1.0
1281,2.0
1282,0.75
1283,0.5
1284,0.5
1285,1.0
1286,0.5
1287,1.0
1288,0.0
1289,1.0
1290,1.0
1291,1.5
1292,1.0
1293,0.5
1294,1.0
1295,1.0
1296,2.0
1297,0.5
1298,1.0
1299,1.0
1300,0.5
1301,2.0
1302,1.0
1303,0.5
1304,1.0
1305,0.0
1306,0.5
1307,1.0
1308,1.0
1309,1.0
1310,1.5
1311,0.0
1312,0.0
1313,0.5
1314,1.0
1315,0.0
1316,0.5
1317,3.0
1318,1.0
1319,1.0
1320,1.0
1321,2.0
1322,0.0
1323,2.0
1324,4.0
1325,1.0
1326,1.0
1327,2.0
1328,1.0
1329,0.6666666666666666
1330,1.5
1331,3.0
1332,1.0
1333,0.75
1334,0.0
1335,0.0
1336,1.0
1337,1.0
1338,2.0
1339,0.5
1340,2.0
1341,2.0
1342,0.0
1343,1.0
1344,2.0
1345,0.0
1346,0.0
1347,0.3333333333333333
1348,0.0
1349,1.0
1350,0.0
1351,1.0
1352,1.0
1353,0.0
1354,1.0
1355,0.0
1356,1.0
1357,1.0
1358,0.0
1359,0.0
1360,1.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,1.0
1366,0.0
1367,0.5
1368,1.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,1.0
1374,1.0
1375,0.0
1376,2.0
1377,0.0
1378,1.0
1379,1.0
1380,1.0
1381,2.0
1382,2.0
1383,1.0
1384,1.0
1385,1.0
1386,3.0
1387,0.5
1388,0.5
1389,0.5
1390,1.0
1391,1.0
1392,0.0
1393,1.0
1394,0.5
1395,1.0
1396,2.0
1397,1.0
1398,2.0
1399,1.0
1400,0.0
1401,3.0
1402,1.0
1403,1.0
1404,1.0
1405,3.0
1406,0.0
1407,0.5
1408,1.0
1409,3.0
1410,1.5
1411,2.0
1412,0.0
1413,1.0
1414,2.0
1415,1.0
1416,0.0
1417,0.5
1418,0.0
1419,0.0
1420,1.0
1421,0.0
1422,0.0
1423,0.0
1424,1.0
1425,1.0
1426,0.0
1427,0.0
1428,1.0
1429,2.0
1430,0.0
1431,0.0
1432,2.0
1433,0.5
1434,1.0
1435,1.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,1.0
1441,0.3333333333333333
1442,1.0
1443,0.3333333333333333
1444,0.0
1445,2.0
1446,2.0
1447,0.0
1448,0.0
1449,0.0
1450,1.0
1451,0.0
1452,2.0
1453,0.5
1454,1.0
1455,0.0
1456,2.0
1457,0.6666666666666666
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,1.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.5
1471,1.0
1472,0.0
1473,1.0
1474,0.0
1475,1.0
1476,0.0
1477,0.5
1478,3.0
1479,0.0
1480,0.0
1481,0.3333333333333333
1482,1.0
1483,0.5
1484,0.0
1485,2.0
1486,2.0
1487,1.0
1488,2.0
1489,1.0
1490,1.0
1491,1.0
1492,3.0
1493,2.0
1494,0.0
1495,0.5
1496,0.0
1497,0.5
1498,0.0
1499,0.5
1500,0.0
1501,2.0
1502,0.0
1503,1.0
1504,1.0
1505,0.5
1506,1.0
1507,0.0
1508,0.0
1509,0.0
1510,3.0
1511,1.0
1512,0.5
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,2.0
1518,0.5
1519,1.0
1520,0.0
1521,0.5
1522,1.0
1523,0.6666666666666666
1524,1.0
1525,0.0
1526,0.0
1527,1.0
1528,2.0
1529,2.0
1530,0.6666666666666666
1531,2.0
1532,0.0
1533,0.0
1534,0.3333333333333333
1535,0.5
1536,0.5
1537,1.0
1538,0.0
1539,1.0
1540,0.0
1541,0.0
1542,0.0
1543,1.0
1544,1.0
1545,0.0
1546,0.4
1547,0.6666666666666666
1548,1.0
1549,1.0
1550,0.6666666666666666
1551,1.0
1552,1.0
1553,3.0
1554,0.0
1555,1.0
1556,3.0
1557,0.0
1558,3.0
1559,0.0
1560,1.0
1561,3.0
1562,0.0
1563,0.5
1564,2.0
1565,1.0
1566,0.0
1567,0.3333333333333333
1568,1.0
1569,0.0
1570,2.0
1571,0.0
1572,0.0
1573,2.0
1574,0.0
1575,0.0
1576,1.0
1577,0.0
1578,1.0
1579,0.6666666666666666
1580,0.3333333333333333
1581,1.0
1582,0.0
1583,0.0
1584,1.0
1585,0.5
1586,2.0
1587,1.0
1588,1.0
1589,1.0
1590,1.0
1591,1.0
1592,0.25
1593,3.0
1594,0.0
1595,0.0
1596,0.0
1597,1.0
1598,1.0
1599,0.0
1600,1.0
1601,0.0
1602,2.0
1603,1.0
1604,0.0
1605,0.0
1606,0.0
1607,1.0
1608,0.3333333333333333
1609,1.0
1610,0.0
1611,0.6666666666666666
1612,1.0
1613,0.3333333333333333
1614,0.3333333333333333
1615,0.0
1616,0.5
1617,2.0
1618,0.0
1619,1.0
1620,0.0
