line_index,LD_value
1152,-1.0
1153,1.0
1154,2.0
1155,-1.0
1156,-1.0
1157,0.5
1158,-1.0
1159,0.0
1160,-1.0
1161,2.0
1162,-1.0
1163,-1.0
1164,-1.0
1165,-1.0
1166,-1.0
1167,0.0
1168,-1.0
1169,-1.0
1170,-1.0
1171,-1.0
1172,0.0
1173,-1.0
1174,0.0
1175,-1.0
1176,-1.0
1177,-1.0
1178,-1.0
1179,3.0
1180,-1.0
1181,-1.0
1182,-1.0
1183,0.5
1184,2.0
1185,-1.0
1186,-1.0
1187,-1.0
1188,-1.0
1189,-1.0
1190,1.0
1191,-1.0
1192,-1.0
1193,1.0
1194,2.0
1195,1.0
1196,-1.0
1197,1.0
1198,0.5
1199,0.5
1200,-1.0
1201,0.5
1202,2.0
1203,-1.0
1204,1.0
1205,0.0
1206,1.0
1207,0.5
1208,0.0
1209,0.0
1210,-1.0
1211,-1.0
1212,-1.0
1213,-1.0
1214,-1.0
1215,-1.0
1216,-1.0
1217,0.0
1218,-1.0
1219,0.0
1220,0.0
1221,-1.0
1222,-1.0
1223,0.0
1224,-1.0
1225,0.3333333333333333
1226,0.0
1227,-1.0
1228,-1.0
1229,-1.0
1230,-1.0
1231,-1.0
1232,0.0
1233,0.0
1234,-1.0
1235,0.5
1236,-1.0
1237,-1.0
1238,0.5
1239,1.0
1240,0.6666666666666666
1241,1.0
1242,-1.0
1243,-1.0
1244,1.0
1245,0.6666666666666666
1246,-1.0
1247,-1.0
1248,-1.0
1249,-1.0
1250,-1.0
1251,0.0
1252,-1.0
1253,0.0
1254,1.0
1255,-1.0
1256,0.5
1257,0.6666666666666666
1258,2.0
1259,1.0
1260,1.5
1261,-1.0
1262,-1.0
1263,1.0
1264,-1.0
1265,-1.0
1266,-1.0
1267,-1.0
1268,-1.0
1269,-1.0
1270,0.0
1271,-1.0
1272,-1.0
1273,-1.0
1274,-1.0
1275,-1.0
1276,0.6666666666666666
1277,0.0
1278,0.5
1279,-1.0
1280,0.0
1281,0.5
1282,-1.0
1283,1.0
1284,1.0
1285,1.0
1286,-1.0
1287,-1.0
1288,-1.0
1289,-1.0
1290,-1.0
1291,-1.0
1292,-1.0
1293,-1.0
1294,1.0
1295,-1.0
1296,-1.0
1297,0.0
1298,-1.0
1299,0.0
1300,-1.0
1301,0.0
1302,-1.0
1303,0.0
1304,-1.0
1305,1.0
1306,1.0
1307,-1.0
1308,1.0
1309,1.0
1310,0.0
1311,-1.0
1312,0.5
1313,-1.0
1314,-1.0
1315,0.0
1316,-1.0
1317,-1.0
1318,-1.0
1319,-1.0
1320,-1.0
1321,-1.0
1322,-1.0
1323,0.0
1324,0.0
1325,0.0
1326,-1.0
1327,-1.0
1328,-1.0
1329,-1.0
1330,-1.0
1331,-1.0
1332,-1.0
1333,-1.0
1334,-1.0
1335,-1.0
1336,-1.0
1337,1.0
1338,-1.0
1339,-1.0
1340,0.5
1341,0.0
1342,3.0
1343,2.0
1344,-1.0
1345,1.0
1346,0.5
1347,-1.0
1348,1.0
1349,-1.0
1350,0.5
1351,-1.0
1352,1.0
1353,-1.0
1354,-1.0
1355,-1.0
1356,0.0
1357,4.0
1358,0.0
1359,-1.0
1360,0.0
1361,-1.0
1362,1.0
1363,0.0
1364,-1.0
1365,2.0
1366,2.0
1367,1.0
1368,0.0
1369,-1.0
1370,-1.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,-1.0
1375,-1.0
1376,0.0
1377,1.0
1378,0.0
1379,2.0
1380,-1.0
1381,0.0
1382,2.0
1383,0.5
1384,-1.0
1385,-1.0
1386,-1.0
1387,1.0
1388,-1.0
1389,-1.0
1390,-1.0
1391,1.0
1392,0.0
1393,0.0
1394,1.0
1395,-1.0
1396,1.0
1397,0.0
1398,0.0
1399,-1.0
1400,-1.0
1401,0.0
1402,0.0
1403,1.0
1404,-1.0
1405,-1.0
1406,-1.0
1407,2.0
1408,1.5
1409,0.0
1410,-1.0
1411,-1.0
1412,-1.0
1413,-1.0
1414,-1.0
1415,-1.0
1416,-1.0
1417,-1.0
1418,2.0
1419,2.0
1420,-1.0
1421,1.0
1422,-1.0
1423,-1.0
1424,0.0
1425,2.0
1426,-1.0
1427,0.5
1428,1.0
1429,-1.0
1430,-1.0
1431,0.3333333333333333
1432,0.0
1433,0.5
1434,0.5
1435,2.0
1436,0.5
1437,-1.0
1438,1.0
1439,1.0
1440,1.0
1441,1.0
1442,1.0
1443,1.0
1444,-1.0
1445,2.0
1446,-1.0
1447,-1.0
1448,-1.0
1449,1.0
1450,0.0
1451,-1.0
1452,4.0
1453,0.0
1454,0.0
1455,1.0
1456,2.0
1457,-1.0
1458,-1.0
1459,-1.0
1460,-1.0
1461,2.0
1462,1.0
1463,-1.0
1464,1.0
1465,-1.0
1466,2.0
1467,-1.0
1468,-1.0
1469,3.0
1470,-1.0
1471,-1.0
1472,-1.0
1473,-1.0
1474,-1.0
1475,-1.0
1476,-1.0
1477,-1.0
1478,-1.0
1479,-1.0
1480,-1.0
1481,-1.0
1482,-1.0
1483,-1.0
1484,-1.0
1485,1.0
1486,-1.0
1487,0.0
1488,-1.0
1489,-1.0
1490,-1.0
1491,1.0
1492,-1.0
1493,1.5
1494,2.0
1495,-1.0
1496,-1.0
1497,-1.0
1498,1.0
1499,0.0
1500,-1.0
1501,-1.0
1502,2.0
1503,-1.0
1504,-1.0
1505,2.0
1506,-1.0
1507,0.0
1508,-1.0
1509,1.0
1510,-1.0
1511,-1.0
1512,3.0
1513,0.0
1514,1.0
1515,0.5
1516,0.0
1517,-1.0
1518,-1.0
1519,0.0
1520,1.0
1521,0.0
1522,0.0
1523,0.0
1524,-1.0
1525,-1.0
1526,-1.0
1527,0.0
1528,-1.0
1529,1.0
1530,0.0
1531,-1.0
1532,-1.0
1533,-1.0
1534,1.0
1535,-1.0
1536,0.5
1537,0.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,-1.0
1542,0.0
1543,0.0
1544,1.0
1545,-1.0
1546,-1.0
1547,1.0
1548,-1.0
1549,-1.0
1550,-1.0
1551,0.0
1552,-1.0
1553,-1.0
1554,2.0
1555,-1.0
1556,1.0
1557,-1.0
1558,-1.0
1559,-1.0
1560,-1.0
1561,-1.0
1562,-1.0
1563,1.0
1564,-1.0
1565,-1.0
1566,-1.0
1567,-1.0
1568,-1.0
1569,0.5
1570,0.5
1571,0.0
1572,2.0
1573,-1.0
1574,-1.0
1575,-1.0
1576,1.0
1577,1.0
1578,-1.0
1579,0.0
1580,-1.0
1581,-1.0
1582,0.0
1583,0.0
1584,2.0
1585,-1.0
1586,0.5
1587,-1.0
1588,-1.0
1589,2.0
1590,0.5
1591,-1.0
1592,-1.0
1593,0.0
1594,0.0
1595,-1.0
1596,1.0
1597,-1.0
1598,1.0
1599,0.0
1600,0.5
1601,-1.0
1602,-1.0
1603,0.3333333333333333
1604,-1.0
1605,-1.0
1606,-1.0
1607,2.0
1608,-1.0
1609,-1.0
1610,-1.0
1611,-1.0
1612,1.0
1613,-1.0
1614,1.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,0.0
1620,0.0
1621,0.5
1622,-1.0
1623,-1.0
1624,1.0
1625,0.5
1626,1.0
1627,0.5
1628,-1.0
1629,-1.0
1630,-1.0
1631,-1.0
1632,0.0
1633,0.0
1634,0.0
1635,2.0
1636,0.5
1637,-1.0
1638,2.0
1639,-1.0
1640,-1.0
1641,1.0
1642,2.0
1643,0.0
1644,-1.0
1645,0.6666666666666666
1646,0.0
1647,1.0
1648,0.0
1649,-1.0
